state_code,state,month,year,pc_no,pc_name,pc_type,cand_name,cand_sex,cand_catagory,cand_age,party_abbr,votes_polled,position,total_voters,total_electors
S07,Haryana,5,2014,1,Ambala,SC,RATTAN LAL KATARIA,M,SC,62,BJP,612121,1,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,RAJ KUMAR BALMIKI,M,SC,57,INC,272047,2,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,DR. KUSUM SHERWAL,F,SC,43,INLD,129571,3,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,DR. KAPOOR SINGH,M,SC,54,BSP,102627,4,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,SURINDER PAL SINGH,M,SC,53,AAAP,63626,5,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,ARUN KUMAR,M,SC,42,CPI,11123,6,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,None of the Above,NULL,NULL,NULL,NOTA,7816,7,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,BHUPINDER KUMAR,M,SC,47,IND,3765,8,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,RAJENDER KUMAR BHATAULI,M,SC,44,BSCP,3432,9,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,BHURA RAM,M,SC,66,IND,3388,10,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,PHOOL CHAND RATTUWALA,M,SC,57,IND,3095,11,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,RAMESH CHAND,M,SC,49,IND,2715,12,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,ISHWAR SINGH,M,SC,44,IND,1446,13,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,RAM JAWARI,M,SC,48,RAKP,1290,14,1220125,1692424
S07,Haryana,5,2014,1,Ambala,SC,GURNAM SINGH,M,SC,55,IND,933,15,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,RAJ KUMAR SAINI,M,GEN,60,BJP,418112,1,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,BALBIR SINGH SAINI,M,GEN,65,INLD,288376,2,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,NAVEEN JINDAL,M,GEN,44,INC,287722,3,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,CHATTAR SINGH,M,GEN,62,BSP,68926,4,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,BALWINDER KAUR,F,GEN,51,AAAP,32554,5,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,RAJ KUMAR SAINI,M,GEN,37,IND,6061,6,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,JASVINDER JASHT BHUKHRI,M,SC,38,IND,3887,7,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,ASHWANI MALHOTRA,M,GEN,49,AITC,3251,8,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,CHUNI MANOJ KUMAR,M,GEN,32,IND,2770,9,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,RANBIR SINGH SHARMA,M,GEN,58,IND,2765,10,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,None of the Above,NULL,NULL,NULL,NOTA,2482,11,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,RAMESHWAR KUMAR SAINI,M,GEN,66,BSCP,2344,12,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,VISHNU BHAGWAN AGGARWAL,M,GEN,66,IND,2083,13,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,DAVINDER KUMAR,M,SC,33,IND,2041,14,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,MASTER DHARAMPAL DHIMAN BRAHAMAN,M,GEN,63,IND,1994,15,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,KULDEEP SINGH MALLHI,M,GEN,44,RPI,1665,16,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,RAM KISHAN,M,SC,49,LPR,1635,17,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,ANIL KUMAR,M,GEN,32,IND,1593,18,1136173,1498459
S07,Haryana,5,2014,2,Kurukshetra,GEN,KANTA ALLARIA,F,SC,43,IBSPK,1534,19,1136173,1498459
